년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-07-01,1,발전량,15421.340 ,643.000 ,3905.050 ,0.000 ,3905.050 ,7.230 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,7.232 ,112.089 ,535.137 ,940.105 ,1294.450 ,339.884 ,556.832 ,318.189 ,329.037 ,292.879 ,875.021 ,715.926 ,191.637 ,112.089 ,0.000 ,3789.350 ,3905.050 ,1106.430 ,0.000 
2020-07-01,2,발전량,26028.860 ,1085.000 ,5934.720 ,0.000 ,5934.710 ,9.640 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,19.284 ,202.484 ,1041.350 ,1653.620 ,2212.860 ,496.568 ,944.926 ,549.600 ,477.284 ,380.863 ,2882.990 ,1118.480 ,327.832 ,173.558 ,9.642 ,5934.720 ,5934.720 ,1668.080 ,0.000 
2020-07-02,1,발전량,14416.150 ,601.000 ,3789.350 ,0.000 ,3789.340 ,7.230 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,7.232 ,242.258 ,744.853 ,932.874 ,1189.600 ,242.258 ,206.100 ,216.947 ,216.947 ,216.947 ,202.484 ,1193.210 ,846.095 ,329.037 ,25.311 ,3789.350 ,3782.120 ,32.542 ,0.000 
2020-07-02,2,발전량,24442.740 ,1018.000 ,5939.540 ,0.000 ,5939.530 ,14.460 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,14.463 ,443.537 ,1263.120 ,1600.590 ,2015.200 ,323.011 ,303.726 ,303.726 ,298.905 ,318.189 ,308.547 ,2087.520 ,1354.720 ,535.137 ,48.211 ,5939.540 ,5929.900 ,1354.720 ,0.000 
2020-07-03,1,발전량,6378.250 ,266.000 ,3337.370 ,0.000 ,3337.370 ,43.380 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,90.395 ,260.337 ,350.732 ,372.426 ,213.332 ,198.868 ,202.484 ,198.868 ,202.484 ,198.868 ,531.521 ,177.174 ,43.389 ,0.000 ,3337.370 ,0.000 ,0.000 ,0.000 
2020-07-03,2,발전량,10741.300 ,448.000 ,5780.440 ,0.000 ,5780.440 ,4.820 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,173.558 ,448.358 ,602.632 ,621.916 ,308.547 ,303.726 ,308.547 ,298.905 ,303.726 ,298.905 ,906.358 ,279.621 ,67.495 ,4.821 ,5780.440 ,33.747 ,0.000 ,0.000 
2020-07-04,1,발전량,12492.550 ,521.000 ,3792.960 ,0.000 ,3792.960 ,3.610 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,3.616 ,162.711 ,509.826 ,1410.160 ,2014.000 ,336.268 ,198.868 ,198.868 ,202.484 ,202.484 ,198.868 ,694.232 ,253.105 ,159.095 ,3.616 ,3792.960 ,2151.400 ,0.000 ,0.000 
2020-07-04,2,발전량,20976.400 ,874.000 ,5939.540 ,0.000 ,5939.530 ,9.640 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,9.642 ,289.263 ,882.253 ,2458.740 ,3413.310 ,356.758 ,298.905 ,303.726 ,303.726 ,303.726 ,303.726 ,1195.620 ,395.326 ,255.516 ,14.463 ,5939.540 ,4252.170 ,0.000 ,0.000 
2020-07-05,1,발전량,14553.550 ,606.000 ,3894.210 ,0.000 ,3894.200 ,10.840 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,10.847 ,256.721 ,639.995 ,1142.590 ,1269.140 ,289.263 ,224.179 ,300.111 ,285.647 ,227.795 ,202.484 ,820.784 ,687.000 ,213.332 ,21.695 ,3789.350 ,3894.210 ,278.416 ,0.000 
2020-07-05,2,발전량,24206.510 ,1009.000 ,5934.720 ,0.000 ,5934.710 ,24.100 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,24.105 ,462.821 ,1089.560 ,1807.900 ,2232.150 ,323.011 ,323.011 ,327.832 ,356.758 ,303.726 ,443.537 ,1383.640 ,1132.950 ,347.116 ,38.568 ,5934.720 ,5929.900 ,1745.220 ,0.000 
