지점,지점명,일시,기온(°C),강수량(mm),습도(%),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),운형(운형약어),시정(10m),현상번호(국내식),지면온도(°C)
295,남해,2020-07-01 01:00,20.1,,81,,,,5,,2000,,19.3
295,남해,2020-07-01 02:00,20.4,,81,,,,5,,2000,,19.7
295,남해,2020-07-01 03:00,20.5,,80,,,,7,,2000,,19.6
295,남해,2020-07-01 04:00,20.4,,80,,,,3,,2000,,19.3
295,남해,2020-07-01 05:00,20.4,,79,,,,6,,2000,,19.6
295,남해,2020-07-01 06:00,20.4,,77,0,,,5,,2000,,19.9
295,남해,2020-07-01 07:00,21.5,,73,.3,,,6,,2000,,22.8
295,남해,2020-07-01 08:00,22.8,,68,.8,,,5,,2000,,27.5
295,남해,2020-07-01 09:00,22.7,,67,.9,,,8,,2000,,29
295,남해,2020-07-01 10:00,23.4,,67,.9,,,9,,1849,,33.1
295,남해,2020-07-01 11:00,24.3,,60,1,,,4,,2000,,36.2
295,남해,2020-07-01 12:00,25.2,,59,1,,,3,,2000,,37.8
295,남해,2020-07-01 13:00,25.4,,60,.6,,,9,,2000,,34.3
295,남해,2020-07-01 14:00,25.5,,64,.1,,,9,,2000,,31.6
295,남해,2020-07-01 15:00,26,,60,.6,,,8,,2000,,32.3
295,남해,2020-07-01 16:00,24.2,,65,.1,,,9,,2000,,29.3
295,남해,2020-07-01 17:00,23.4,,69,0,,,10,,2000,,25.4
295,남해,2020-07-01 18:00,24.1,,65,0,,,10,,2000,,25.5
295,남해,2020-07-01 19:00,23.3,,70,0,,,10,,2000,,24.4
295,남해,2020-07-01 20:00,22.6,,75,0,,,9,,2000,,23.2
295,남해,2020-07-01 21:00,21.5,,80,,,,3,,2000,,21.5
295,남해,2020-07-01 22:00,20,,87,,,,4,,2000,,20.5
295,남해,2020-07-01 23:00,19.4,,92,,,,4,,2000,,19.9
295,남해,2020-07-02 00:00,19.5,,88,,,,,,2000,,19.5
295,남해,2020-07-02 01:00,18.9,,91,,,,4,,2000,,19.1
295,남해,2020-07-02 02:00,19.1,,91,,,,5,,2000,,19.1
295,남해,2020-07-02 03:00,18.9,,92,,,,7,,1736,,18.9
295,남해,2020-07-02 04:00,18.6,,94,,,,3,,1326,,18.7
295,남해,2020-07-02 05:00,18.7,,95,,,,4,,1231,,18.6
295,남해,2020-07-02 06:00,19.2,,94,0,,,3,,1326,,19.9
295,남해,2020-07-02 07:00,20.9,,87,.3,,,6,,1471,,22.8
295,남해,2020-07-02 08:00,21.4,,81,.3,,,9,,1468,,24.3
295,남해,2020-07-02 09:00,22.1,,74,.3,,,9,,1393,,25.9
295,남해,2020-07-02 10:00,22.5,,75,0,,,10,,1361,,27.3
295,남해,2020-07-02 11:00,23.3,,74,0,,,10,,1372,,27.5
295,남해,2020-07-02 12:00,24.1,,74,0,,,10,,1712,,30.4
295,남해,2020-07-02 13:00,25,,72,0,,,10,,1815,,31.7
295,남해,2020-07-02 14:00,26.2,,68,.1,,,10,,1921,,34.3
295,남해,2020-07-02 15:00,25.3,,68,.4,,,9,,1987,,30.8
295,남해,2020-07-02 16:00,26,,64,.6,,,9,,1998,,32.3
295,남해,2020-07-02 17:00,26,,63,.4,,,8,,1972,,30.9
295,남해,2020-07-02 18:00,24.7,,67,.9,,,7,,2000,,27.4
295,남해,2020-07-02 19:00,23.4,,71,.4,,,8,,2000,,25.1
295,남해,2020-07-02 20:00,21.7,,81,0,,,10,,1995,,23.4
295,남해,2020-07-02 21:00,21.1,,83,,,,10,,2000,,22.4
295,남해,2020-07-02 22:00,20.8,,83,,,,10,,2000,,21.8
295,남해,2020-07-02 23:00,20.4,,84,,,,10,,2000,,21.2
295,남해,2020-07-03 00:00,20.1,,86,,,,,,2000,,20.9
295,남해,2020-07-03 01:00,19.9,,84,,,,10,,2000,,20.7
295,남해,2020-07-03 02:00,19.8,,86,,,,10,,2000,,20.5
295,남해,2020-07-03 03:00,19.6,,86,,,,10,,2000,,20.3
295,남해,2020-07-03 04:00,19.7,,88,,,,10,,2000,,20.3
295,남해,2020-07-03 05:00,19.5,,90,,,,10,,2000,,20.3
295,남해,2020-07-03 06:00,19.7,,90,0,,,10,,1833,,20.5
295,남해,2020-07-03 07:00,20.3,,87,0,,,10,,1987,,21.3
295,남해,2020-07-03 08:00,20.9,,80,0,,,10,,1984,,22
295,남해,2020-07-03 09:00,20.9,,83,0,,,10,,1789,,22.8
295,남해,2020-07-03 10:00,20.3,.8,91,0,,,10,,571,,22.6
295,남해,2020-07-03 11:00,20.4,1.1,90,0,,,10,,801,,23.4
295,남해,2020-07-03 12:00,19.8,.7,87,0,,,10,,1199,,23.8
