년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-07-01,1,발전량,1519.00 ,63.00 ,262.00 ,0.00 ,262.00 ,5.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,34.00 ,87.00 ,104.00 ,180.00 ,237.00 ,262.00 ,235.00 ,90.00 ,60.00 ,108.00 ,67.00 ,30.00 ,15.00 ,5.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-02,1,발전량,1225.00 ,51.00 ,196.00 ,0.00 ,196.00 ,4.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,31.00 ,81.00 ,119.00 ,196.00 ,132.00 ,125.00 ,103.00 ,94.00 ,96.00 ,92.00 ,85.00 ,42.00 ,20.00 ,4.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-03,1,발전량,475.00 ,20.00 ,76.00 ,0.00 ,76.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,16.00 ,24.00 ,34.00 ,41.00 ,33.00 ,44.00 ,76.00 ,71.00 ,54.00 ,31.00 ,19.00 ,17.00 ,10.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-04,1,발전량,886.00 ,37.00 ,145.00 ,0.00 ,145.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,18.00 ,69.00 ,101.00 ,117.00 ,85.00 ,73.00 ,90.00 ,145.00 ,85.00 ,52.00 ,34.00 ,8.00 ,6.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-05,1,발전량,1073.00 ,45.00 ,180.00 ,0.00 ,180.00 ,5.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,16.00 ,38.00 ,45.00 ,51.00 ,78.00 ,132.00 ,180.00 ,140.00 ,136.00 ,101.00 ,76.00 ,49.00 ,19.00 ,7.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-06,1,발전량,426.00 ,18.00 ,64.00 ,0.00 ,64.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,11.00 ,20.00 ,36.00 ,44.00 ,64.00 ,33.00 ,57.00 ,40.00 ,32.00 ,28.00 ,25.00 ,22.00 ,12.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-07,1,발전량,1747.00 ,73.00 ,261.00 ,0.00 ,261.00 ,3.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,20.00 ,51.00 ,93.00 ,206.00 ,235.00 ,257.00 ,261.00 ,218.00 ,158.00 ,116.00 ,69.00 ,37.00 ,20.00 ,3.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-08,1,발전량,1683.00 ,70.00 ,265.00 ,0.00 ,265.00 ,4.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,23.00 ,64.00 ,155.00 ,201.00 ,239.00 ,265.00 ,200.00 ,200.00 ,119.00 ,102.00 ,62.00 ,27.00 ,18.00 ,4.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-09,1,발전량,746.00 ,31.00 ,146.00 ,0.00 ,146.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,22.00 ,31.00 ,49.00 ,105.00 ,68.00 ,63.00 ,146.00 ,105.00 ,66.00 ,34.00 ,30.00 ,14.00 ,7.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-10,1,발전량,630.00 ,26.00 ,114.00 ,0.00 ,114.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,2.00 ,6.00 ,10.00 ,34.00 ,107.00 ,68.00 ,43.00 ,92.00 ,114.00 ,82.00 ,42.00 ,23.00 ,6.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-11,1,발전량,1214.00 ,51.00 ,186.00 ,0.00 ,186.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,13.00 ,36.00 ,66.00 ,123.00 ,186.00 ,170.00 ,159.00 ,161.00 ,100.00 ,80.00 ,59.00 ,35.00 ,20.00 ,4.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-12,1,발전량,352.00 ,15.00 ,54.00 ,0.00 ,54.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,13.00 ,24.00 ,24.00 ,18.00 ,36.00 ,41.00 ,54.00 ,44.00 ,26.00 ,29.00 ,23.00 ,12.00 ,4.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-13,1,발전량,303.00 ,13.00 ,59.00 ,0.00 ,59.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,3.00 ,7.00 ,16.00 ,26.00 ,49.00 ,59.00 ,54.00 ,33.00 ,13.00 ,19.00 ,14.00 ,8.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-14,1,발전량,353.00 ,15.00 ,47.00 ,0.00 ,47.00 ,4.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,19.00 ,35.00 ,20.00 ,34.00 ,47.00 ,42.00 ,35.00 ,31.00 ,16.00 ,24.00 ,20.00 ,17.00 ,9.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-15,1,발전량,541.00 ,23.00 ,115.00 ,0.00 ,115.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,9.00 ,17.00 ,24.00 ,34.00 ,65.00 ,67.00 ,32.00 ,64.00 ,115.00 ,48.00 ,28.00 ,22.00 ,12.00 ,3.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-16,1,발전량,1570.00 ,65.00 ,281.00 ,0.00 ,281.00 ,4.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,16.00 ,36.00 ,100.00 ,126.00 ,166.00 ,281.00 ,206.00 ,234.00 ,157.00 ,123.00 ,65.00 ,33.00 ,18.00 ,5.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-17,1,발전량,1797.00 ,75.00 ,289.00 ,0.00 ,289.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,16.00 ,64.00 ,116.00 ,175.00 ,202.00 ,285.00 ,289.00 ,242.00 ,169.00 ,121.00 ,61.00 ,36.00 ,16.00 ,3.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-18,1,발전량,1005.00 ,42.00 ,157.00 ,0.00 ,157.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,23.00 ,63.00 ,90.00 ,59.00 ,76.00 ,157.00 ,135.00 ,125.00 ,86.00 ,81.00 ,62.00 ,23.00 ,19.00 ,4.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-19,1,발전량,478.00 ,20.00 ,87.00 ,0.00 ,87.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,10.00 ,12.00 ,20.00 ,19.00 ,29.00 ,53.00 ,51.00 ,48.00 ,73.00 ,87.00 ,45.00 ,18.00 ,9.00 ,3.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-20,1,발전량,735.00 ,31.00 ,128.00 ,0.00 ,128.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,16.00 ,35.00 ,34.00 ,61.00 ,49.00 ,53.00 ,110.00 ,120.00 ,128.00 ,63.00 ,41.00 ,14.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-21,1,발전량,1253.00 ,52.00 ,186.00 ,0.00 ,186.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,25.00 ,94.00 ,132.00 ,97.00 ,169.00 ,92.00 ,186.00 ,129.00 ,110.00 ,94.00 ,68.00 ,40.00 ,12.00 ,3.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-22,1,발전량,391.00 ,16.00 ,56.00 ,0.00 ,56.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,7.00 ,14.00 ,34.00 ,42.00 ,43.00 ,56.00 ,18.00 ,32.00 ,44.00 ,53.00 ,30.00 ,13.00 ,3.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-23,1,발전량,281.00 ,12.00 ,46.00 ,0.00 ,46.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,8.00 ,13.00 ,19.00 ,33.00 ,27.00 ,46.00 ,43.00 ,21.00 ,22.00 ,19.00 ,17.00 ,10.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-24,1,발전량,300.00 ,13.00 ,48.00 ,0.00 ,48.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,7.00 ,17.00 ,46.00 ,48.00 ,24.00 ,30.00 ,31.00 ,21.00 ,18.00 ,15.00 ,16.00 ,14.00 ,8.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-25,1,발전량,557.00 ,23.00 ,108.00 ,0.00 ,108.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,15.00 ,18.00 ,24.00 ,41.00 ,39.00 ,42.00 ,60.00 ,84.00 ,108.00 ,60.00 ,29.00 ,19.00 ,15.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-26,1,발전량,1905.00 ,79.00 ,282.00 ,0.00 ,282.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,19.00 ,83.00 ,145.00 ,204.00 ,233.00 ,266.00 ,282.00 ,252.00 ,175.00 ,113.00 ,75.00 ,36.00 ,18.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-27,1,발전량,384.00 ,16.00 ,63.00 ,0.00 ,63.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,9.00 ,21.00 ,22.00 ,45.00 ,52.00 ,51.00 ,63.00 ,50.00 ,38.00 ,14.00 ,11.00 ,4.00 ,3.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-28,1,발전량,728.00 ,30.00 ,150.00 ,0.00 ,150.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,11.00 ,22.00 ,73.00 ,61.00 ,90.00 ,150.00 ,115.00 ,89.00 ,40.00 ,24.00 ,27.00 ,15.00 ,10.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-29,1,발전량,513.00 ,21.00 ,83.00 ,0.00 ,83.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,20.00 ,46.00 ,58.00 ,39.00 ,45.00 ,83.00 ,58.00 ,11.00 ,18.00 ,30.00 ,43.00 ,48.00 ,9.00 ,4.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
