瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),嚼档(%),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),款屈(款屈距绢),矫沥(10m),泅惑锅龋(惫郴侥),瘤搁柯档(∑C)
192,柳林,2020-07-01 01:00,19.3,,87,,,,7,,2000,,20.5
192,柳林,2020-07-01 02:00,19.1,,91,,,,7,,2000,,20.6
192,柳林,2020-07-01 03:00,19,,92,,,,1,,2000,,20.7
192,柳林,2020-07-01 04:00,19,,92,,,,1,,2000,,20.8
192,柳林,2020-07-01 05:00,18.7,,93,,,,6,,2000,,20.6
192,柳林,2020-07-01 06:00,20.2,,85,.2,.1,,7,,2000,,20.7
192,柳林,2020-07-01 07:00,22.2,,71,.9,.67,,8,,2000,,23.2
192,柳林,2020-07-01 08:00,22.5,,68,.6,.96,,8,,2000,,24.6
192,柳林,2020-07-01 09:00,22.6,,67,0,.93,,10,,2000,,24.7
192,柳林,2020-07-01 10:00,24.3,,63,.5,1.73,,8,,1986,,29.2
192,柳林,2020-07-01 11:00,25.8,,61,1,2.82,,8,,2000,,33.5
192,柳林,2020-07-01 12:00,26.1,,59,.7,2.75,,4,,2000,,33.7
192,柳林,2020-07-01 13:00,27,,54,.5,2.33,,7,,2000,,34.3
192,柳林,2020-07-01 14:00,26.9,,57,.2,1.63,,9,,2000,,32.5
192,柳林,2020-07-01 15:00,26.7,,60,.3,1.42,,9,,2000,,32.2
192,柳林,2020-07-01 16:00,26.2,,64,1,1.77,,6,,2000,,31.8
192,柳林,2020-07-01 17:00,25.2,,68,.3,.94,,9,,2000,,29.7
192,柳林,2020-07-01 18:00,24,,71,0,.39,,10,,2000,,27.7
192,柳林,2020-07-01 19:00,23.4,,74,0,.15,,10,,2000,,26.1
192,柳林,2020-07-01 20:00,22.4,,79,0,.02,,8,,2000,,24.3
192,柳林,2020-07-01 21:00,20.8,,88,,,,4,,2000,,22.8
192,柳林,2020-07-01 22:00,19.7,,93,,,,3,,2000,,21.8
192,柳林,2020-07-01 23:00,19.2,,95,,,,1,,1982,,21.1
192,柳林,2020-07-02 00:00,18.7,,97,,,,,,1890,,20.6
192,柳林,2020-07-02 01:00,18.3,,98,,,,3,,1690,,20.1
192,柳林,2020-07-02 02:00,18,,97,,,,6,,1606,,19.7
192,柳林,2020-07-02 03:00,17.4,,97,,,,7,,1124,,19.6
192,柳林,2020-07-02 04:00,17.2,,98,,,,3,,1079,,19.2
192,柳林,2020-07-02 05:00,16.8,,98,,,,5,,935,,18.7
192,柳林,2020-07-02 06:00,16.7,,98,0,.03,,3,,890,,18.7
192,柳林,2020-07-02 07:00,19,,93,.6,.43,,4,,989,,20.8
192,柳林,2020-07-02 08:00,21.3,,82,.8,1,,7,,1238,,24.2
192,柳林,2020-07-02 09:00,23.2,,78,.7,1.39,,8,,1401,,27.4
192,柳林,2020-07-02 10:00,24.6,,70,1,2.28,,8,,1391,,31.1
192,柳林,2020-07-02 11:00,25,,70,0,1.51,,10,,1383,,30.2
192,柳林,2020-07-02 12:00,25.5,,72,0,1.52,,10,,1254,,30.5
192,柳林,2020-07-02 13:00,25.6,,72,0,1.09,,10,,1336,,29.3
192,柳林,2020-07-02 14:00,26,,71,.1,1.4,,10,,1800,,30.3
192,柳林,2020-07-02 15:00,24.7,,75,.1,.67,,10,,1501,,28.2
192,柳林,2020-07-02 16:00,26.3,,72,.5,1.44,,9,,1690,,30.3
192,柳林,2020-07-02 17:00,25.7,,70,.5,1.05,,8,,1894,,29
192,柳林,2020-07-02 18:00,25.3,,65,1,.88,,8,,2000,,27.7
192,柳林,2020-07-02 19:00,23.6,,69,.5,.4,,6,,2000,,25.7
192,柳林,2020-07-02 20:00,21.7,,75,0,.03,,9,,2000,,24
192,柳林,2020-07-02 21:00,21.1,,78,,,,10,,2000,,23
192,柳林,2020-07-02 22:00,21,,78,,,,10,,2000,,22.3
192,柳林,2020-07-02 23:00,19.7,,86,,,,10,,2000,,21.8
192,柳林,2020-07-03 00:00,19.2,,88,,,,,,2000,,21.3
192,柳林,2020-07-03 01:00,19,,88,,,,10,,2000,,21.1
192,柳林,2020-07-03 02:00,18.8,,88,,,,10,,1893,,20.7
192,柳林,2020-07-03 03:00,18.2,,91,,,,10,,1999,,20.5
192,柳林,2020-07-03 04:00,18.2,,92,,,,10,,2000,,20.3
192,柳林,2020-07-03 05:00,18.3,,92,,,,10,,2000,,20.2
192,柳林,2020-07-03 06:00,18.3,,92,0,.01,,10,,1996,,20.2
192,柳林,2020-07-03 07:00,19,,93,0,.14,,10,,1998,,20.8
192,柳林,2020-07-03 08:00,20.5,0,85,0,.27,,10,,1965,,21.7
192,柳林,2020-07-03 09:00,21,,84,0,.39,,10,,1877,,22.7
192,柳林,2020-07-03 10:00,21.3,0,84,0,.41,,10,,1874,,23
192,柳林,2020-07-03 11:00,20.6,.6,87,0,.37,,10,,1261,,23
192,柳林,2020-07-03 12:00,20.6,.7,92,0,.53,,10,,1449,,23.6
192,柳林,2020-07-03 13:00,21.1,.4,87,0,.91,,10,,1557,,24.8
192,柳林,2020-07-03 14:00,21.2,.2,87,0,.82,,10,,1556,,25.1
192,柳林,2020-07-03 15:00,20.8,0,89,0,.5,,10,,1567,,24.1
192,柳林,2020-07-03 16:00,20.6,.1,90,0,.27,,10,,1790,,23.2
192,柳林,2020-07-03 17:00,20.8,0,88,0,.18,,10,,1994,,22.7
192,柳林,2020-07-03 18:00,20.3,0,90,0,.12,,10,,1976,,22.2
192,柳林,2020-07-03 19:00,19.7,.2,94,0,.05,,9,,1882,,21.7
192,柳林,2020-07-03 20:00,19.2,1.4,95,0,.01,,10,,439,,21
192,柳林,2020-07-03 21:00,18.3,5.1,97,,,,10,,436,,20.2
192,柳林,2020-07-03 22:00,18.6,1.7,96,,,,10,,2000,,20.1
192,柳林,2020-07-03 23:00,18.6,,96,,,,8,,1992,,20.1
192,柳林,2020-07-04 00:00,18.3,,96,,,,,,1903,,20
192,柳林,2020-07-04 01:00,18.1,,97,,,,4,,1406,,19.7
192,柳林,2020-07-04 02:00,18,,97,,,,5,,1706,,19.7
192,柳林,2020-07-04 03:00,17.8,,94,,,,6,,1962,,19.6
192,柳林,2020-07-04 04:00,17.8,,96,,,,8,,1994,,19.7
192,柳林,2020-07-04 05:00,17.2,,97,,,,9,,1946,,19.2
192,柳林,2020-07-04 06:00,17.7,,99,0,.01,,5,,1564,,19.6
192,柳林,2020-07-04 07:00,19.5,,91,.2,.34,,5,,2000,,21.2
192,柳林,2020-07-04 08:00,20.6,,85,.1,.76,,9,,2000,,23
192,柳林,2020-07-04 09:00,21.9,,78,.1,1.05,,10,,1990,,24.7
192,柳林,2020-07-04 10:00,22.2,,75,.1,1.25,,10,,2000,,25.3
192,柳林,2020-07-04 11:00,23.1,,73,.1,1.72,,9,,2000,,28
192,柳林,2020-07-04 12:00,23.4,,73,0,1.45,,9,,1992,,27.7
192,柳林,2020-07-04 13:00,23.9,,74,0,1.46,,9,,2000,,28.1
192,柳林,2020-07-04 14:00,24.3,,70,0,1.65,,10,,2000,,29.2
192,柳林,2020-07-04 15:00,24.3,,70,0,1.07,,10,,2000,,28
192,柳林,2020-07-04 16:00,24.7,,71,.3,1.22,,10,,2000,,28.3
192,柳林,2020-07-04 17:00,23.6,,76,.2,1.02,,9,,2000,,27.3
192,柳林,2020-07-04 18:00,22,,82,0,.1,,10,,1996,,24.2
192,柳林,2020-07-04 19:00,21.8,,84,0,.05,,10,,1997,,23.3
192,柳林,2020-07-04 20:00,21.4,,86,0,.01,,9,,1982,,22.7
192,柳林,2020-07-04 21:00,21.2,,87,,,,10,,1669,,22.3
192,柳林,2020-07-04 22:00,20.9,,88,,,,7,,1572,,21.8
192,柳林,2020-07-04 23:00,20.5,,92,,,,2,,1644,,21.7
192,柳林,2020-07-05 00:00,20.2,,93,,,,,,1539,,20.8
192,柳林,2020-07-05 01:00,19.8,,93,,,,7,,930,,20.7
