년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-07-01,1,발전량,2984.04 ,124.00 ,523.22 ,0.00 ,523.22 ,13.82 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,13.82 ,79.56 ,265.46 ,282.17 ,213.84 ,298.44 ,470.02 ,523.22 ,399.60 ,169.42 ,142.92 ,105.34 ,20.23 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-02,1,발전량,4146.26 ,173.00 ,692.71 ,0.00 ,692.71 ,0.29 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.29 ,37.58 ,148.03 ,356.98 ,409.68 ,586.37 ,692.71 ,592.49 ,439.06 ,378.07 ,179.86 ,166.68 ,115.27 ,42.55 ,0.65 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-03,1,발전량,1648.08 ,69.00 ,252.79 ,0.00 ,252.79 ,0.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.07 ,5.83 ,66.89 ,115.20 ,160.49 ,184.18 ,155.38 ,208.22 ,251.06 ,252.79 ,199.51 ,36.36 ,8.28 ,3.82 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-04,1,발전량,2830.18 ,118.00 ,453.53 ,0.00 ,453.52 ,0.86 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.66 ,52.56 ,118.30 ,304.34 ,271.08 ,417.82 ,453.53 ,326.23 ,115.13 ,408.60 ,172.73 ,138.24 ,49.10 ,0.86 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-05,1,발전량,2876.33 ,120.00 ,420.12 ,0.00 ,420.12 ,0.22 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.22 ,23.26 ,112.46 ,162.14 ,257.40 ,325.87 ,361.37 ,420.12 ,335.81 ,169.27 ,253.80 ,245.95 ,159.12 ,48.17 ,1.37 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-06,1,발전량,2788.06 ,116.00 ,496.94 ,0.00 ,496.94 ,3.24 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,19.01 ,59.40 ,30.24 ,129.46 ,479.45 ,496.94 ,449.35 ,394.85 ,356.18 ,160.49 ,125.14 ,84.31 ,3.24 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-07,1,발전량,4273.56 ,178.00 ,601.63 ,0.00 ,601.63 ,1.80 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,31.10 ,120.38 ,312.91 ,383.90 ,310.25 ,458.86 ,404.28 ,601.63 ,584.93 ,502.78 ,269.50 ,199.30 ,91.94 ,1.80 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-08,1,발전량,4611.02 ,192.00 ,617.40 ,0.00 ,617.40 ,0.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.22 ,36.00 ,153.14 ,338.26 ,487.01 ,588.17 ,617.40 ,545.04 ,589.03 ,514.30 ,351.58 ,212.98 ,139.61 ,38.16 ,0.14 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-09,1,발전량,3985.70 ,166.00 ,579.60 ,0.00 ,579.60 ,0.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.14 ,38.38 ,134.35 ,289.30 ,374.83 ,369.07 ,579.60 ,374.04 ,455.69 ,405.50 ,442.94 ,283.97 ,180.22 ,57.53 ,0.14 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-10,1,발전량,1288.73 ,54.00 ,252.29 ,0.00 ,252.28 ,0.43 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,8.71 ,12.31 ,47.45 ,194.04 ,114.05 ,94.46 ,252.29 ,84.82 ,232.13 ,207.00 ,41.04 ,0.43 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-11,1,발전량,3818.02 ,159.00 ,627.48 ,0.00 ,627.48 ,0.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,34.99 ,139.39 ,273.53 ,274.97 ,458.42 ,450.14 ,627.48 ,413.78 ,430.42 ,316.58 ,225.07 ,123.41 ,49.75 ,0.07 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-12,1,발전량,1034.28 ,43.00 ,152.35 ,0.00 ,152.35 ,2.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.30 ,59.04 ,73.58 ,90.00 ,118.94 ,152.35 ,114.26 ,142.49 ,128.16 ,72.72 ,71.06 ,6.84 ,2.52 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-13,1,발전량,703.66 ,29.00 ,174.31 ,0.00 ,174.31 ,0.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.07 ,32.40 ,106.27 ,174.31 ,121.61 ,143.86 ,98.78 ,21.17 ,3.89 ,1.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-14,1,발전량,1933.27 ,81.00 ,286.56 ,0.00 ,286.56 ,0.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.14 ,20.81 ,122.26 ,165.17 ,248.54 ,252.58 ,286.56 ,238.90 ,211.61 ,150.05 ,145.80 ,85.03 ,5.83 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-15,1,발전량,1506.60 ,63.00 ,298.80 ,0.00 ,298.80 ,2.08 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.09 ,49.18 ,88.13 ,120.46 ,104.40 ,151.42 ,298.80 ,135.65 ,245.09 ,202.54 ,100.58 ,5.11 ,3.17 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-16,1,발전량,5332.75 ,222.00 ,722.88 ,0.00 ,722.88 ,0.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,31.82 ,122.47 ,296.86 ,421.34 ,620.93 ,708.70 ,722.88 ,689.62 ,605.45 ,457.70 ,401.98 ,207.14 ,45.07 ,0.79 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-17,1,발전량,5429.52 ,226.00 ,693.72 ,0.00 ,693.72 ,0.21 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,19.15 ,167.26 ,320.62 ,487.15 ,615.89 ,674.78 ,693.72 ,680.26 ,630.14 ,521.50 ,394.20 ,183.89 ,40.75 ,0.22 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-18,1,발전량,3973.32 ,166.00 ,455.40 ,0.00 ,455.40 ,0.43 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.43 ,57.60 ,154.58 ,328.32 ,421.85 ,455.40 ,441.65 ,382.10 ,445.68 ,310.25 ,339.41 ,394.85 ,199.80 ,40.68 ,0.72 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-19,1,발전량,1317.96 ,55.00 ,211.46 ,0.00 ,211.46 ,0.58 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.24 ,39.24 ,113.18 ,145.15 ,164.45 ,116.86 ,211.46 ,148.54 ,109.73 ,87.05 ,90.29 ,57.67 ,30.53 ,0.58 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-20,1,발전량,2353.97 ,98.00 ,427.46 ,0.00 ,427.46 ,4.82 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.82 ,78.55 ,188.71 ,40.90 ,225.29 ,290.66 ,427.46 ,367.06 ,202.68 ,111.38 ,142.20 ,230.47 ,43.78 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-21,1,발전량,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-22,1,발전량,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-23,1,발전량,50.11 ,2.00 ,28.22 ,0.00 ,28.22 ,2.74 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.26 ,28.22 ,3.53 ,9.36 ,2.74 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-24,1,발전량,983.30 ,41.00 ,187.99 ,0.00 ,187.99 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.65 ,23.11 ,100.80 ,91.94 ,187.99 ,111.89 ,95.33 ,149.54 ,112.25 ,68.54 ,31.39 ,4.25 ,5.26 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-25,1,발전량,1598.90 ,67.00 ,265.97 ,0.00 ,265.96 ,0.57 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.58 ,32.26 ,93.96 ,90.14 ,84.31 ,111.46 ,190.15 ,256.32 ,265.97 ,203.18 ,102.60 ,111.10 ,56.88 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-26,1,발전량,2750.18 ,115.00 ,565.70 ,0.00 ,565.70 ,0.29 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.29 ,19.80 ,75.89 ,237.24 ,183.46 ,498.82 ,565.70 ,410.83 ,259.34 ,240.62 ,183.74 ,72.86 ,1.58 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-27,1,발전량,1488.67 ,62.00 ,212.90 ,0.00 ,212.90 ,0.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.23 ,63.72 ,165.31 ,154.87 ,163.80 ,167.40 ,212.90 ,132.41 ,189.29 ,175.75 ,53.42 ,6.91 ,0.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-28,1,발전량,950.33 ,40.00 ,161.50 ,0.00 ,161.49 ,2.45 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.66 ,53.14 ,101.16 ,109.87 ,89.42 ,132.48 ,161.50 ,131.11 ,104.76 ,33.34 ,25.99 ,2.45 ,2.45 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-29,1,발전량,606.74 ,25.00 ,93.67 ,0.00 ,93.67 ,1.37 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.37 ,9.86 ,22.25 ,25.49 ,78.70 ,90.65 ,88.85 ,23.40 ,79.49 ,93.67 ,41.76 ,51.26 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-30,1,발전량,1120.68 ,47.00 ,404.78 ,0.00 ,404.78 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,1.51 ,0.00 ,0.00 ,0.00 ,2.23 ,121.82 ,303.55 ,404.78 ,142.49 ,112.82 ,29.09 ,1.87 ,0.00 ,0.00 ,0.00 ,0.00 
2020-07-31,1,발전량,3151.73 ,131.00 ,644.33 ,0.00 ,644.32 ,17.71 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,33.19 ,114.41 ,116.21 ,159.70 ,158.47 ,271.51 ,540.36 ,644.33 ,346.03 ,386.64 ,242.28 ,120.89 ,17.71 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-01,1,발전량,3087.14 ,129.00 ,508.82 ,0.00 ,508.82 ,3.31 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,10.30 ,104.98 ,222.12 ,359.28 ,441.22 ,433.08 ,508.82 ,354.74 ,280.08 ,186.12 ,110.23 ,72.86 ,3.31 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-02,1,발전량,2872.58 ,120.00 ,482.62 ,0.00 ,482.61 ,0.43 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.43 ,79.63 ,185.90 ,214.70 ,323.14 ,345.96 ,452.09 ,482.62 ,308.45 ,236.88 ,148.03 ,85.61 ,9.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-03,1,발전량,3187.30 ,133.00 ,584.42 ,0.00 ,584.42 ,9.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,14.11 ,81.65 ,208.87 ,432.58 ,584.42 ,421.27 ,377.78 ,320.18 ,304.13 ,238.90 ,150.34 ,43.99 ,9.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-04,1,발전량,3872.59 ,161.00 ,597.31 ,0.00 ,597.31 ,24.26 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,28.51 ,142.42 ,253.51 ,289.44 ,462.02 ,597.31 ,540.65 ,485.71 ,358.13 ,283.54 ,234.65 ,172.44 ,24.26 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-05,1,발전량,2725.99 ,114.00 ,504.29 ,0.00 ,504.28 ,0.22 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,15.41 ,101.30 ,252.00 ,419.11 ,504.29 ,365.26 ,455.83 ,225.29 ,109.30 ,96.34 ,113.26 ,57.38 ,11.02 ,0.22 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-06,1,발전량,1748.38 ,73.00 ,352.30 ,0.00 ,352.29 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,19.30 ,92.30 ,152.14 ,45.22 ,114.98 ,147.38 ,191.88 ,352.30 ,196.63 ,288.79 ,132.77 ,14.18 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-07,1,발전량,213.98 ,9.00 ,85.54 ,0.00 ,85.53 ,0.43 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.43 ,2.16 ,6.05 ,19.44 ,46.30 ,36.94 ,9.94 ,85.54 ,1.01 ,1.94 ,0.72 ,3.53 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-08,1,발전량,230.90 ,10.00 ,64.22 ,0.00 ,64.22 ,0.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.87 ,11.09 ,9.72 ,3.96 ,2.81 ,51.98 ,50.54 ,17.93 ,64.22 ,16.13 ,0.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-09,1,발전량,4460.26 ,186.00 ,690.84 ,0.00 ,690.84 ,0.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.12 ,107.71 ,181.66 ,264.53 ,443.23 ,549.07 ,690.84 ,656.86 ,551.16 ,471.10 ,344.09 ,158.62 ,35.21 ,0.07 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-10,1,발전량,1009.44 ,42.00 ,319.54 ,0.00 ,319.53 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.83 ,31.54 ,0.00 ,5.83 ,262.22 ,319.54 ,242.71 ,39.67 ,53.21 ,47.09 ,1.44 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2020-08-11,1,발전량,1985.98 ,83.00 ,336.67 ,0.00 ,336.67 ,6.91 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.91 ,142.56 ,336.67 ,295.34 ,267.77 ,130.39 ,260.64 ,183.60 ,123.62 ,134.42 ,38.45 ,21.10 ,44.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
