瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),嚼档(%),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),款屈(款屈距绢),矫沥(10m),泅惑锅龋(惫郴侥),瘤搁柯档(∑C)
279,备固,2020-07-01 01:00,19.4,0,99,,,,4,,2000,,20.8
279,备固,2020-07-01 02:00,19.2,0,99,,,,9,,2000,,20.3
279,备固,2020-07-01 03:00,18.4,0,99,,,,10,,1774,,19.9
279,备固,2020-07-01 04:00,18.4,.1,99,,,,10,,1978,,19.9
279,备固,2020-07-01 05:00,18.6,0,99,,,,8,,2000,,19.8
279,备固,2020-07-01 06:00,18.6,,99,0,,,3,,2000,,19.8
279,备固,2020-07-01 07:00,18.9,,99,0,,,5,,2000,,20.4
279,备固,2020-07-01 08:00,20.5,,88,.3,,,8,,2000,,22.4
279,备固,2020-07-01 09:00,21.7,,86,.5,,,9,,2000,,25.9
279,备固,2020-07-01 10:00,21.9,,82,.3,,,9,,2000,,26.4
279,备固,2020-07-01 11:00,22.3,,75,.1,,,10,,2000,,26.3
279,备固,2020-07-01 12:00,23.1,,73,0,,,9,,2000,,28.6
279,备固,2020-07-01 13:00,25,,70,.2,,,10,,2000,,34.8
279,备固,2020-07-01 14:00,25.2,,64,.6,,,8,,2000,,33.5
279,备固,2020-07-01 15:00,24.6,,73,0,,,9,,2000,,28.8
279,备固,2020-07-01 16:00,24.1,,75,0,,,9,,2000,,26.7
279,备固,2020-07-01 17:00,24.6,,76,0,,,9,,2000,,27.4
279,备固,2020-07-01 18:00,24,,76,0,,,9,,2000,,25.3
279,备固,2020-07-01 19:00,23.3,,86,0,,,10,,2000,,24.2
279,备固,2020-07-01 20:00,22.7,,83,0,,,10,,2000,,22.9
279,备固,2020-07-01 21:00,21.3,,98,,,,6,,2000,,21.7
279,备固,2020-07-01 22:00,20.1,,99,,,,7,,1978,,20.6
279,备固,2020-07-01 23:00,19.4,,99,,,,3,,1834,,19.9
279,备固,2020-07-02 00:00,19,,99,,,,,,1629,,19.3
279,备固,2020-07-02 01:00,18.2,,99,,,,1,,1295,,18.8
279,备固,2020-07-02 02:00,17.8,,99,,,,5,,820,,18.5
279,备固,2020-07-02 03:00,18,,99,,,,6,,1333,,18.3
279,备固,2020-07-02 04:00,17.7,,99,,,,8,,784,,18.3
279,备固,2020-07-02 05:00,17.6,,99,,,,6,,657,,18.1
279,备固,2020-07-02 06:00,17.5,,99,0,,,5,,618,,18.3
279,备固,2020-07-02 07:00,18.8,,99,.2,,,5,,913,,20.4
279,备固,2020-07-02 08:00,21,,98,.8,,,4,,1088,,22.4
279,备固,2020-07-02 09:00,22.1,,91,1,,,8,,1063,,27.1
279,备固,2020-07-02 10:00,24.4,,85,.7,,,8,,1159,,30.4
279,备固,2020-07-02 11:00,25.6,,68,1,,,0,,1509,,35.5
279,备固,2020-07-02 12:00,27,,61,1,,,3,,1984,,38.2
279,备固,2020-07-02 13:00,28.3,,60,.8,,,5,,1965,,38.5
279,备固,2020-07-02 14:00,28.9,,59,.9,,,7,,1927,,40.9
