지점,지점명,일시,기온(°C),강수량(mm),습도(%),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),운형(운형약어),시정(10m),현상번호(국내식),지면온도(°C)
155,창원,2020-07-01 01:00,20.3,,75,,,,5,,2000,,20.2
155,창원,2020-07-01 02:00,20.2,,76,,,,5,,2000,,20.3
155,창원,2020-07-01 03:00,20.3,,75,,,,8,Sc,2000,,20.3
155,창원,2020-07-01 04:00,20.5,,75,,,,7,Sc,2000,,20.1
155,창원,2020-07-01 05:00,20.4,,72,,,,10,ScAs,2000,,19.5
155,창원,2020-07-01 06:00,20.2,,73,0,.04,,8,ScAc,2000,,19.5
155,창원,2020-07-01 07:00,20.5,,69,.2,.41,,9,Sc,2000,,20.9
155,창원,2020-07-01 08:00,22.1,,63,.5,1.16,,8,ScAc,2000,,23.7
155,창원,2020-07-01 09:00,21.4,,65,.2,1.13,,9,ScAc,2000,,23.2
155,창원,2020-07-01 10:00,22.8,,61,.4,1.93,,7,ScAc,2000,,28.2
155,창원,2020-07-01 11:00,25.2,,53,1,2.87,,7,ScAc,2000,,33
155,창원,2020-07-01 12:00,26.5,,50,1,3.52,,8,Sc,2000,,35.6
155,창원,2020-07-01 13:00,25,,63,.4,1.79,,8,ScAc,2000,,31.9
155,창원,2020-07-01 14:00,24.6,,62,.3,1.82,,8,ScAc,2000,,32
155,창원,2020-07-01 15:00,25.5,,62,.9,2.74,,8,ScAc,2000,,32.7
155,창원,2020-07-01 16:00,24.7,,64,.8,2.15,,8,ScAc,2000,,30.1
155,창원,2020-07-01 17:00,24.2,,66,.3,.82,,8,ScAc,2000,,27.8
155,창원,2020-07-01 18:00,22.9,0,73,0,.18,,9,ScAc,2000,01,24.7
155,창원,2020-07-01 19:00,22.5,0,73,0,.08,,9,ScAc,2000,01,23.4
155,창원,2020-07-01 20:00,21.1,.1,84,0,0,,8,ScAc,2000,01,22.6
155,창원,2020-07-01 21:00,20.5,,83,,,,2,Sc,2000,,21.5
155,창원,2020-07-01 22:00,19.9,,83,,,,4,,2000,,20.3
155,창원,2020-07-01 23:00,19.9,,84,,,,3,,2000,,19.7
155,창원,2020-07-02 00:00,18.8,,89,,,,0,,2000,,19.2
155,창원,2020-07-02 01:00,18.7,,89,,,,6,,2000,,18.8
155,창원,2020-07-02 02:00,18.9,,87,,,,3,,2000,,18.5
155,창원,2020-07-02 03:00,19.2,,86,,,,7,Ci,2000,,18.5
155,창원,2020-07-02 04:00,18.7,,91,,,,7,Ci,2000,,18.4
155,창원,2020-07-02 05:00,19.4,,87,,,,6,Ci,2000,,18.2
155,창원,2020-07-02 06:00,19.6,,86,0,.04,,0,,1963,,18.7
155,창원,2020-07-02 07:00,20.6,,83,.7,.39,,1,Ci,1658,,21.2
155,창원,2020-07-02 08:00,21.7,,80,.9,1.03,,7,Ci,1622,,24.2
155,창원,2020-07-02 09:00,23.2,,72,.7,1.34,,8,Ci,1821,,27.3
155,창원,2020-07-02 10:00,25.4,,63,.9,2.03,,8,ScCi,2000,,32.1
155,창원,2020-07-02 11:00,25.2,,69,.5,2,,8,ScCi,1975,,31.6
155,창원,2020-07-02 12:00,24.6,,68,.4,2.01,,9,ScCi,1669,,29.8
155,창원,2020-07-02 13:00,24.7,,68,0,1.71,,9,Ci,1599,,29.7
155,창원,2020-07-02 14:00,24.2,,64,0,1.35,,9,ScCi,2000,,28.8
155,창원,2020-07-02 15:00,23.9,,65,0,1.03,,9,ScCi,2000,,26.5
155,창원,2020-07-02 16:00,24.2,,61,.1,.94,,8,Ci,2000,,27.9
155,창원,2020-07-02 17:00,23.8,,61,.7,1.35,,8,AcCi,2000,,27.4
155,창원,2020-07-02 18:00,23.5,,62,.3,.92,,8,Ci,2000,,25.4
155,창원,2020-07-02 19:00,21.9,,66,.3,.42,,8,,2000,,22.9
155,창원,2020-07-02 20:00,20.8,,68,0,.03,,8,,2000,,20.7
155,창원,2020-07-02 21:00,20.6,,67,,,,9,Ci,2000,,20.1
155,창원,2020-07-02 22:00,20.3,,68,,,,10,,2000,,19.9
155,창원,2020-07-02 23:00,20.2,,70,,,,10,,2000,,19.7
155,창원,2020-07-03 00:00,20,,72,,,,9,Ci,2000,,19.6
155,창원,2020-07-03 01:00,20.4,,76,,,,10,,2000,,19.5
155,창원,2020-07-03 02:00,20.1,,74,,,,10,,2000,,19.4
155,창원,2020-07-03 03:00,20.3,,75,,,,9,AcCi,2000,,19.3
155,창원,2020-07-03 04:00,19.6,,78,,,,9,AcCi,2000,,19.1
155,창원,2020-07-03 05:00,19.9,,75,,,,10,As,1896,,19.1
155,창원,2020-07-03 06:00,19.8,,75,0,0,,10,As,2000,,19.2
155,창원,2020-07-03 07:00,20.3,,73,0,.15,,10,As,2000,,20.3
155,창원,2020-07-03 08:00,21.1,,66,0,.25,,10,As,2000,,21
155,창원,2020-07-03 09:00,21.8,,63,0,.45,,10,As,2000,,21.6
155,창원,2020-07-03 10:00,22,0,63,0,.69,,10,ScAs,2000,01,23
155,창원,2020-07-03 11:00,21.6,0,68,0,.5,,10,ScNs,2000,01,23.2
155,창원,2020-07-03 12:00,20.4,.8,83,0,.41,,10,ScNs,1714,01,23.3
155,창원,2020-07-03 13:00,20.6,.7,82,0,.61,,10,ScNs,1818,01,24.6
155,창원,2020-07-03 14:00,21.9,.2,78,0,1.44,,10,ScAs,1630,01,28.4
155,창원,2020-07-03 15:00,22.5,,72,0,1.22,,10,As,2000,,26.6
155,창원,2020-07-03 16:00,22.2,,71,0,.81,,10,ScAs,2000,,24.3
155,창원,2020-07-03 17:00,22.1,,69,0,.37,,10,As,2000,,22.9
155,창원,2020-07-03 18:00,22,,68,0,.27,,10,ScAs,2000,,21.9
155,창원,2020-07-03 19:00,21.7,0,72,0,.07,,10,ScAs,2000,01,20.8
155,창원,2020-07-03 20:00,21.4,,70,0,0,,10,,2000,,20
155,창원,2020-07-03 21:00,20.2,0,76,,,,10,ScAs,1862,01,19.8
155,창원,2020-07-03 22:00,18.7,3.1,90,,,,10,StNs,479,1901,19.3
155,창원,2020-07-03 23:00,18.8,.9,87,,,,10,ScAs,1987,1901,19
155,창원,2020-07-04 00:00,18.9,,86,,,,10,ScAs,2000,,18.9
155,창원,2020-07-04 01:00,18.8,,85,,,,6,,1976,,18.6
155,창원,2020-07-04 02:00,18.6,,85,,,,6,,2000,,18
155,창원,2020-07-04 03:00,18.9,,81,,,,8,Sc,2000,,18.2
155,창원,2020-07-04 04:00,18.7,,81,,,,8,Sc,2000,,18.2
155,창원,2020-07-04 05:00,19,,81,,,,10,ScAs,2000,,18.4
155,창원,2020-07-04 06:00,18.4,,86,0,0,,10,ScAs,2000,,18.7
155,창원,2020-07-04 07:00,18.9,,86,0,.1,,10,ScAs,2000,,19.7
155,창원,2020-07-04 08:00,19.6,,79,0,.53,,9,Sc,2000,,21.7
155,창원,2020-07-04 09:00,21.2,,74,.2,1.3,,9,Sc,2000,,25.3
155,창원,2020-07-04 10:00,23.4,,70,.4,2,,9,ScAc,2000,,29.9
155,창원,2020-07-04 11:00,24.2,,66,1,3.12,,8,ScAc,2000,,34.7
155,창원,2020-07-04 12:00,23.2,,68,.4,2.2,,9,Sc,2000,,30.1
155,창원,2020-07-04 13:00,22.9,,70,0,.79,,10,ScAs,2000,,27.9
155,창원,2020-07-04 14:00,22.6,,73,0,1.03,,10,ScAs,2000,,27.3
155,창원,2020-07-04 15:00,22.8,,72,.1,1.58,,9,ScAc,2000,,27.4
155,창원,2020-07-04 16:00,22.2,,76,0,.46,,10,ScAs,2000,,24.6
155,창원,2020-07-04 17:00,21.8,,76,.1,.42,,10,ScAs,2000,,23.4
155,창원,2020-07-04 18:00,21.3,,80,0,.11,,10,ScAs,2000,,22.2
155,창원,2020-07-04 19:00,20.2,0,84,0,.03,,10,ScAs,1374,01,21.2
155,창원,2020-07-04 20:00,19,.9,91,0,0,,10,StNs,522,1901,20.6
155,창원,2020-07-04 21:00,18.8,0,94,,,,10,ScAs,1597,1901,20.5
155,창원,2020-07-04 22:00,18.6,,94,,,,7,,1411,,19.9
155,창원,2020-07-04 23:00,18.7,,94,,,,7,,921,19,19.9
155,창원,2020-07-05 00:00,18.3,,94,,,,8,Ac,1038,19,19.7
155,창원,2020-07-05 01:00,18.4,,95,,,,6,,1343,,19.6
155,창원,2020-07-05 02:00,18.8,,94,,,,9,,1254,,19.8
155,창원,2020-07-05 03:00,18.8,,93,,,,9,Sc,2000,,19.8
155,창원,2020-07-05 04:00,18.8,,91,,,,9,Sc,2000,,19.5
155,창원,2020-07-05 05:00,18.6,,92,,,,9,Sc,2000,,19.5
155,창원,2020-07-05 06:00,19.2,,90,0,0,,9,Sc,1154,,19.7
155,창원,2020-07-05 07:00,19.8,,88,0,.27,,8,ScAc,1369,,21.2
155,창원,2020-07-05 08:00,21.4,,82,.5,1,,8,Sc,1739,,25.2
155,창원,2020-07-05 09:00,22.5,,76,.4,1.38,,10,ScAs,1556,,27.8
155,창원,2020-07-05 10:00,23.5,,73,.3,1.54,,10,ScAs,1938,,29.6
155,창원,2020-07-05 11:00,23.4,,74,.2,1.26,,10,ScAs,1564,,28.7
155,창원,2020-07-05 12:00,24.8,,70,.5,2.26,,10,ScAs,1615,,31.6
155,창원,2020-07-05 13:00,25.3,,67,.3,2.04,,9,ScAc,1471,,31.5
155,창원,2020-07-05 14:00,25.9,,65,.7,2.76,,8,ScAc,1389,,34
155,창원,2020-07-05 15:00,25.1,,67,.8,2.28,,9,ScAc,1316,,31.2
155,창원,2020-07-05 16:00,24.8,,69,.4,1.8,,9,Sc,1246,,28.9
155,창원,2020-07-05 17:00,23.7,,70,0,.91,,9,AcCi,1756,,27.2
155,창원,2020-07-05 18:00,24,,69,.6,.99,,8,AcCi,1715,,26.6
155,창원,2020-07-05 19:00,22.3,,77,.3,.29,,8,,1590,,23.8
