"¿ù","ÀÏ"," 1h "," 2h "," 3h "," 4h "," 5h "," 6h "," 7h "," 8h "," 9h "," 10h "," 11h "," 12h "," 13h "," 14h "," 15h "," 16h "," 17h "," 18h "," 19h "," 20h "," 21h "," 22h "," 23h "," 24h "," °è "
"01","01","0","0","0","0","0","0","0","0","6.84","59.52","329.04","196.68","265.2","849.96","600.84","189.84","76.68","8.16","0","0","0","0","0","0","2583"
"01","02","0","0","0","0","0","0","0","0","17.04","237.6","883.8","967.32","971.52","684.36","606.72","518.88","155.4","10.08","0","0","0","0","0","0","5053"
"01","03","0","0","0","0","0","0","0","0.24","48.6","458.64","965.76","1258.68","1240.2","1308.12","1186.68","687.84","148.44","11.04","0","0","0","0","0","0","7314"
"01","04","0","0","0","0","0","0","0","1.08","42","190.92","67.2","121.68","211.68","227.28","108.72","49.56","19.44","0","0","0","0","0","0","0","1040"
"01","05","0","0","0","0","0","0","0","0","8.28","40.92","126","700.08","1130.04","1125.24","1107.36","708.6","205.08","11.4","0","0","0","0","0","0","5163"
"01","06","0","0","0","0","0","0","0","0.12","41.28","439.8","940.08","1268.52","1337.88","1334.4","1216.92","778.08","216.48","8.76","0","0","0","0","0","0","7582"
"01","07","0","0","0","0","0","0","0","0.48","64.08","407.76","907.44","1180.2","1195.44","1027.2","818.52","470.52","130.92","14.76","0","0","0","0","0","0","6217"
"01","08","0","0","0","0","0","0","0","0","7.68","160.32","687","928.44","798.96","286.2","518.04","387.96","83.52","11.64","0","0","0","0","0","0","3870"
"01","09","0","0","0","0","0","0","0","0.12","91.56","335.88","843.72","907.44","668.88","487.2","267","198.96","114.72","13.56","0","0","0","0","0","0","3929"
"01","10","0","0","0","0","0","0","0","0","37.08","171.48","481.68","1064.88","882","365.28","192","95.28","71.04","3.96","0","0","0","0","0","0","3365"
"01","11","0","0","0","0","0","0","0","0","32.28","415.2","765","860.76","768.12","1109.76","964.92","334.8","87.48","3.96","0","0","0","0","0","0","5342"
"01","12","0","0","0","0","0","0","0","0","23.52","131.28","533.16","826.56","775.8","968.76","876.12","579.48","218.4","21.6","0","0","0","0","0","0","4955"
"01","13","0","0","0","0","0","0","0","0","54.12","362.04","770.4","969.6","1153.56","1088.16","977.28","628.32","247.68","24.24","0","0","0","0","0","0","6275"
"01","14","0","0","0","0","0","0","0","0.12","66.72","337.92","705.12","967.92","1041.96","812.88","793.92","483.48","175.92","11.76","0","0","0","0","0","0","5398"
"01","15","0","0","0","0","0","0","0","0","52.56","295.44","610.92","517.68","701.52","674.52","570.48","283.8","20.88","0","0","0","0","0","0","0","3728"
"01","16","0","0","0","0","0","0","0","0.6","68.28","549.12","1049.16","1285.08","1374.6","1348.44","1240.68","885.36","314.16","16.68","0","0","0","0","0","0","8132"
"01","17","0","0","0","0","0","0","0","0","44.76","414.96","719.04","699.48","638.52","957.84","1114.92","864.24","262.8","18.96","0","0","0","0","0","0","5736"
"01","18","0","0","0","0","0","0","0","0.36","70.32","454.44","905.76","1133.52","1153.2","1183.92","1077.72","622.2","303.24","20.88","0","0","0","0","0","0","6926"
"01","19","0","0","0","0","0","0","0","0.12","76.08","506.4","1009.92","1012.92","247.8","40.68","50.16","22.08","0.48","0","0","0","0","0","0","0","2967"
"01","20","0","0","0","0","0","0","0","0","79.92","214.56","834.6","788.76","742.56","713.76","971.76","627.6","171","31.56","0","0","0","0","0","0","5176"
"01","21","0","0","0","0","0","0","0","0.6","66.24","463.8","829.08","1278","1372.08","1299.84","1045.8","511.2","283.92","30.72","0","0","0","0","0","0","7181"
"01","22","0","0","0","0","0","0","0","0.12","71.28","449.88","920.88","1124.52","1304.52","1267.56","1094.52","798.24","292.68","33.12","0","0","0","0","0","0","7357"
"01","23","0","0","0","0","0","0","0","0.48","79.56","451.56","812.04","988.8","1210.68","1223.28","1020","712.44","293.4","39.6","0","0","0","0","0","0","6832"
"01","24","0","0","0","0","0","0","0","0.96","91.32","661.44","1079.16","1267.44","1329.84","1274.04","1207.56","975.6","440.4","34.2","0","0","0","0","0","0","8362"
"01","25","0","0","0","0","0","0","0","0","66.72","221.28","610.8","707.04","817.8","359.64","144.36","259.92","133.2","25.44","0","0","0","0","0","0","3346"
"01","26","0","0","0","0","0","0","0","0.72","72.48","559.08","725.4","1250.16","1423.08","1406.28","1280.28","1060.44","480.36","45.12","0","0","0","0","0","0","8303"
"01","27","0","0","0","0","0","0","0","1.32","126.36","691.44","1097.52","1260","1324.2","1336.8","1209.6","990.72","483.84","37.92","0","0","0","0","0","0","8560"
"01","28","0","0","0","0","0","0","0","0","19.08","67.08","186.24","704.4","897.24","905.88","825.24","888.12","402.24","49.92","0","0","0","0","0","0","4945"
"01","29","0","0","0","0","0","0","0","2.04","149.76","709.08","1103.4","1279.44","1330.92","1317.84","1194.72","997.2","533.64","51.84","0","0","0","0","0","0","8670"
"01","30","0","0","0","0","0","0","0","0","18.36","118.08","243.72","338.76","609.96","650.64","341.28","246.96","67.32","17.64","0","0","0","0","0","0","2653"
"01","31","0","0","0","0","0","0","0","0","0","2.28","31.56","42.6","54.36","171.24","703.44","774.72","478.56","83.64","0","0","0","0","0","0","2342"
"02","01","0","0","0","0","0","0","0","1.68","160.92","446.28","655.8","602.52","882.84","1199.52","1237.32","1034.04","588.36","79.08","0.12","0","0","0","0","0","6888"
"02","02","0","0","0","0","0","0","0","0","22.8","113.4","431.04","1128.12","1264.08","1255.56","1040.76","364.56","71.52","15.24","0","0","0","0","0","0","5707"
"02","03","0","0","0","0","0","0","0","0","0","0","5.4","0","1.8","19.2","28.8","2.88","0","0","0","0","0","0","0","0","58"
"02","04","0","0","0","0","0","0","0","2.88","177.24","669.6","1029.24","1224","1299","1275.72","1180.44","833.52","360.84","57","0","0","0","0","0","0","8109"
"02","05","0","0","0","0","0","0","0","4.68","197.88","690.72","1044.48","1205.88","1276.08","1270.92","1166.52","878.88","278.04","57","0","0","0","0","0","0","8071"
"02","06","0","0","0","0","0","0","0","0.6","169.8","681.24","580.32","617.04","342","834.48","597.36","399.72","310.44","82.68","0","0","0","0","0","0","4616"
"02","07","0","0","0","0","0","0","0","0","0.84","34.92","248.88","330.96","733.92","485.4","351.84","664.68","551.64","139.08","0.6","0","0","0","0","0","3543"
"02","08","0","0","0","0","0","0","0","0.12","43.56","264.72","447","980.88","1257","1235.52","1125.72","776.04","451.68","60.96","0","0","0","0","0","0","6643"
"02","09","0","0","0","0","0","0","0","0","26.04","160.56","267.12","502.32","777.12","989.52","962.52","796.56","533.16","120.48","1.44","0","0","0","0","0","5137"
"02","10","0","0","0","0","0","0","0","8.04","115.56","237.6","743.28","431.4","762.12","1147.92","467.64","265.92","108.48","22.44","0","0","0","0","0","0","4310"
"02","11","0","0","0","0","0","0","0","0","17.88","155.64","412.68","524.76","778.08","662.64","310.32","422.88","488.28","69.24","1.44","0","0","0","0","0","3844"
"02","12","0","0","0","0","0","0","0","7.8","250.2","698.76","993.12","1172.76","1268.4","1247.4","1078.2","621.96","193.8","37.32","0.96","0","0","0","0","0","7571"
"02","13","0","0","0","0","0","0","0","7.68","205.8","621.84","984.48","1168.08","1226.52","1209.12","1119.72","888.84","496.44","100.2","2.4","0","0","0","0","0","8031"
"02","14","0","0","0","0","0","0","0","2.88","46.92","317.04","673.68","723.36","797.64","955.32","878.88","1022.4","686.52","202.08","2.16","0","0","0","0","0","6309"
"02","15","0","0","0","0","0","0","0","0.36","34.44","69.36","163.2","276.72","329.88","270.36","250.2","310.32","223.8","97.68","0","0","0","0","0","0","2026"
"02","16","0","0","0","0","0","0","0","0","58.44","345.24","565.2","525.36","817.68","742.56","416.52","360","114.72","30.6","0","0","0","0","0","0","3976"
"02","17","0","0","0","0","0","0","0","7.56","147.84","769.2","966.6","1298.88","1421.28","1418.04","1298.76","1073.28","666.6","228.12","4.08","0","0","0","0","0","9300"
"02","18","0","0","0","0","0","0","0","4.92","89.88","220.32","196.68","138.12","227.04","285.84","118.08","102.48","72.72","20.52","0","0","0","0","0","0","1477"
"02","19","0","0","0","0","0","0","0","0","0.6","27.12","76.8","99.24","120.24","127.08","228.96","189.12","85.68","24.36","0","0","0","0","0","0","979"
"02","20","0","0","0","0","0","0","0","1.44","48.12","101.64","273.6","718.8","853.56","799.92","832.2","858.84","466.2","144","4.2","0","0","0","0","0","5103"
"02","21","0","0","0","0","0","0","0","14.04","229.68","639.12","992.76","1216.08","1319.28","1245.72","976.2","607.68","312.84","95.28","3.6","0","0","0","0","0","7652"
"02","22","0","0","0","0","0","0","0","8.16","141.6","412.68","538.44","522.96","271.2","609.48","470.04","324.6","138.36","84.48","5.64","0","0","0","0","0","3528"
"02","23","0","0","0","0","0","0","0","20.16","276.84","682.56","1017.72","1104.36","1117.44","893.64","972.84","798.84","514.68","178.32","8.88","0","0","0","0","0","7586"
