지점,지점명,일시,기온(°C),강수량(mm),습도(%),일조(hr),일사(MJ/m2),전운량(10분위),운형(운형약어),시정(10m),현상번호(국내식),지면온도(°C)
259,강진군,2019-01-01 01:00,-.1,,58,,,0,,1918,,-2.7
259,강진군,2019-01-01 02:00,-.6,,62,,,7,,1893,,-3.2
259,강진군,2019-01-01 03:00,-.4,,58,,,3,,1854,,-2.4
259,강진군,2019-01-01 04:00,-.2,,63,,,10,,1683,,-1.7
259,강진군,2019-01-01 05:00,.4,,61,,,9,,1850,,-2.2
259,강진군,2019-01-01 06:00,.8,,59,,,7,,1908,,-2.2
259,강진군,2019-01-01 07:00,.4,,59,,,7,,2045,,-2.9
259,강진군,2019-01-01 08:00,.1,,64,0,.73,10,,2052,,-1.5
259,강진군,2019-01-01 09:00,1.1,,62,0,.81,10,,1775,,-.6
259,강진군,2019-01-01 10:00,1.7,,61,0,.88,10,,1687,,-.4
259,강진군,2019-01-01 11:00,3.1,,59,.1,1.26,9,,1417,,1.9
259,강진군,2019-01-01 12:00,2.7,,60,.2,1.29,9,,1267,,2.4
259,강진군,2019-01-01 13:00,2.9,,67,.2,1.34,10,,1236,,4.6
259,강진군,2019-01-01 14:00,3.3,,66,.5,1.3,9,,1456,,6.2
259,강진군,2019-01-01 15:00,2.7,.1,65,.1,.98,10,,794,,3.7
259,강진군,2019-01-01 16:00,2.2,,66,.1,.82,10,,1384,,2.5
259,강진군,2019-01-01 17:00,2,,61,.2,.75,10,,1267,,1.4
259,강진군,2019-01-01 18:00,1.3,,64,.1,.69,0,,1151,,.3
259,강진군,2019-01-01 19:00,1.3,,62,,,10,,1175,,.3
259,강진군,2019-01-01 20:00,1.3,,62,,,9,,1409,,.4
259,강진군,2019-01-01 21:00,1.4,,58,,,7,,1293,,.2
259,강진군,2019-01-01 22:00,1.2,,56,,,10,,1300,,-.1
259,강진군,2019-01-01 23:00,1.4,,54,,,9,,1307,,.1
259,강진군,2019-01-02 00:00,1.3,,56,,,9,,1331,,.1
