瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),嚼档(%),老炼(hr),老荤(MJ/m2),傈款樊(10盒困),款屈(款屈距绢),矫沥(10m),泅惑锅龋(惫郴侥),瘤搁柯档(∑C)
165,格器,2019.1.1 1:00,0,,70,,,8,,1738,,1.3
165,格器,2019.1.1 2:00,0.3,,68,,,9,,1593,,1.3
165,格器,2019.1.1 3:00,0.3,,65,,,9,Sc,1738,,1.4
165,格器,2019.1.1 4:00,0.2,,70,,,9,Sc,2000,,1.4
165,格器,2019.1.1 5:00,0.1,,72,,,8,Sc,2000,,1.5
165,格器,2019.1.1 6:00,0.5,,71,,,9,Sc,1986,,1.5
165,格器,2019.1.1 7:00,1.3,,68,,,9,Sc,2000,,1.3
165,格器,2019.1.1 8:00,1.5,,66,0,0,10,ScAs,2000,,1.5
165,格器,2019.1.1 9:00,1.7,,66,0,0.06,9,Sc,2000,,2.1
165,格器,2019.1.1 10:00,2.1,,64,0,0.26,10,ScAs,2000,,3.3
165,格器,2019.1.1 11:00,2.7,,67,0.1,0.61,9,Sc,1918,,4.3
165,格器,2019.1.1 12:00,3,,69,0.1,0.62,9,Sc,1999,,6.2
165,格器,2019.1.1 13:00,3.3,,60,0.6,1.15,9,Sc,1928,,7.9
165,格器,2019.1.1 14:00,3.7,,62,0.9,1.68,8,Sc,2000,,7.9
165,格器,2019.1.1 15:00,2,,80,0.5,0.93,10,ScAs,1308,,5.5
165,格器,2019.1.1 16:00,2.4,,65,0.2,0.5,8,Sc,2000,,4.5
165,格器,2019.1.1 17:00,2,,63,0.2,0.32,8,Sc,2000,,3.6
165,格器,2019.1.1 18:00,1.5,,62,0,0.01,9,Sc,2000,,2.6
165,格器,2019.1.1 19:00,1.5,,62,,,9,,2000,,2.3
165,格器,2019.1.1 20:00,1.6,,57,,,10,,1988,,2.1
165,格器,2019.1.1 21:00,1.5,,55,,,9,Sc,2000,,1.9
165,格器,2019.1.1 22:00,1.6,,59,,,9,,1981,,1.9
165,格器,2019.1.1 23:00,1.6,,59,,,9,,2000,,1.9
165,格器,2019.1.2 0:00,1.6,,56,,,9,Sc,2000,,1.8
165,格器,2019.1.2 1:00,1.6,,58,,,9,,2000,,1.8
165,格器,2019.1.2 2:00,1.5,,59,,,9,,2000,,1.8
165,格器,2019.1.2 3:00,1.6,,58,,,9,Sc,2000,,1.8
165,格器,2019.1.2 4:00,1.6,,59,,,9,Sc,2000,,1.7
165,格器,2019.1.2 5:00,1.4,,62,,,9,Sc,1485,,1.8
165,格器,2019.1.2 6:00,0.9,,66,,,9,Sc,1961,,1.8
165,格器,2019.1.2 7:00,0.6,,71,,,9,Sc,2000,,1.8
165,格器,2019.1.2 8:00,0.7,,69,0,0,9,Sc,1917,,1.9
165,格器,2019.1.2 9:00,1,0,71,0,0.08,9,CuSc,1880,8,2.6
165,格器,2019.1.2 10:00,1.8,,69,0.5,0.63,4,Sc,1897,8,4.2
165,格器,2019.1.2 11:00,2.4,,66,1,1.4,3,Ci,1973,,4.4
165,格器,2019.1.2 12:00,3,0,67,1,1.59,5,ScCi,1913,,8.5
165,格器,2019.1.2 13:00,3.2,,62,0.7,1.44,6,Sc,2000,,7.7
165,格器,2019.1.2 14:00,2.7,,74,0.2,0.75,7,Sc,1947,,7.3
165,格器,2019.1.2 15:00,3,,65,0.9,1.26,3,Sc,1998,,7
165,格器,2019.1.2 16:00,2.7,,67,0.8,0.83,4,Sc,1956,,5.4
165,格器,2019.1.2 17:00,2.1,,69,0.5,0.31,4,Sc,2000,,3.4
165,格器,2019.1.2 18:00,1.3,,73,0,0.03,2,Sc,1995,,2
165,格器,2019.1.2 19:00,1.2,,74,,,7,,1947,,2.1
165,格器,2019.1.2 20:00,0.5,,73,,,2,,1976,,1.4
