瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),嚼档(%),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),款屈(款屈距绢),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),瘤搁柯档(∑C)
165,格器,2021-01-01 01:00,-1.4,,79,,,2.8,5,Sc,2000,,0
165,格器,2021-01-01 02:00,-1.5,,78,,,2.8,4,,2000,,.1
165,格器,2021-01-01 03:00,-1.4,0,79,,,2.8,9,CuSc,1977,,.1
165,格器,2021-01-01 04:00,-1.7,,80,,,2.9,9,CuSc,949,,.5
165,格器,2021-01-01 05:00,-1.9,,83,,,2.9,9,CuSc,1372,,.2
165,格器,2021-01-01 06:00,-1.8,0,85,,,3,8,CuSc,853,,.2
165,格器,2021-01-01 07:00,-2.2,,85,,,3,7,Sc,1064,,.3
165,格器,2021-01-01 08:00,-2,,88,0,.01,3,7,Sc,1177,,.3
165,格器,2021-01-01 09:00,-1.5,0,88,.4,.3,2.8,4,Sc,1218,,.3
165,格器,2021-01-01 10:00,.5,,79,.9,1.01,2.5,6,Sc,1623,,.6
165,格器,2021-01-01 11:00,2,,58,.4,.96,2.1,7,Sc,2000,,.6
165,格器,2021-01-01 12:00,2.5,,58,.3,1.01,1.2,8,Sc,2000,,1.6
165,格器,2021-01-01 13:00,2.9,,52,.3,1.01,,8,Sc,2000,,3.1
165,格器,2021-01-01 14:00,3.4,,48,.6,1.32,,7,Sc,2000,,5.3
165,格器,2021-01-01 15:00,3.6,,48,.9,1.33,,4,Sc,2000,,5.6
165,格器,2021-01-01 16:00,3.2,,53,.4,.63,,7,Sc,2000,,3.7
165,格器,2021-01-01 17:00,3.2,,53,.4,.34,,6,Sc,2000,,2.7
165,格器,2021-01-01 18:00,2.7,,58,0,.03,,7,Sc,2000,,1.5
165,格器,2021-01-01 19:00,3.2,,54,,,,8,,2000,,1.2
165,格器,2021-01-01 20:00,3.1,,58,,,,8,,2000,,1.2
165,格器,2021-01-01 21:00,2.9,,61,,,,8,Sc,2000,,1.1
165,格器,2021-01-01 22:00,2.7,,62,,,,9,,2000,,1.3
165,格器,2021-01-01 23:00,2.8,,66,,,,9,,2000,,1.6
165,格器,2021-01-02 00:00,3.1,,71,,,,7,ScCi,2000,,.9
165,格器,2021-01-02 01:00,3.4,,58,,,,7,,2000,,.2
165,格器,2021-01-02 02:00,1.9,,76,,,,8,,1973,,.8
165,格器,2021-01-02 03:00,1.6,0,80,,,,10,StNs,1945,,.7
165,格器,2021-01-02 04:00,1.4,,85,,,,8,Sc,1193,,1
165,格器,2021-01-02 05:00,.9,,88,,,,8,ScCi,963,,.9
165,格器,2021-01-02 06:00,1.1,.3,90,,,,10,StNs,813,,1
165,格器,2021-01-02 07:00,1.2,,89,,,,8,Sc,834,,1.1
165,格器,2021-01-02 08:00,1,,89,0,0,,9,Sc,536,,1.2
165,格器,2021-01-02 09:00,.5,0,91,0,.1,,8,Sc,455,,1.5
165,格器,2021-01-02 10:00,.8,,89,.4,.59,,5,Sc,1446,,2.2
165,格器,2021-01-02 11:00,1.1,,75,1,1.2,,2,Sc,1422,,3.6
165,格器,2021-01-02 12:00,1.6,,61,1,1.73,,3,Ci,1863,,6.5
165,格器,2021-01-02 13:00,1.4,,56,1,1.96,,0,,1965,,6.6
165,格器,2021-01-02 14:00,1.2,,52,1,1.87,,0,,1964,,6.5
165,格器,2021-01-02 15:00,1.5,,51,1,1.57,,0,,2000,,6.1
165,格器,2021-01-02 16:00,1.5,,52,1,1.08,,0,,2000,,4.2
165,格器,2021-01-02 17:00,1.1,,52,1,.49,,4,Ci,2000,,1.5
165,格器,2021-01-02 18:00,.3,,61,0,.03,,0,,2000,,.2
165,格器,2021-01-02 19:00,-.8,,61,,,,0,,2000,,.3
165,格器,2021-01-02 20:00,-1,,63,,,,5,,2000,,.2
165,格器,2021-01-02 21:00,-1.2,,60,,,,9,Sc,2000,,.1
165,格器,2021-01-02 22:00,-1.6,,64,,,,6,,2000,,.1
165,格器,2021-01-02 23:00,-1.9,,66,,,,5,,2000,,0
165,格器,2021-01-03 00:00,-1.9,,64,,,,10,ScAs,2000,,-.3
165,格器,2021-01-03 01:00,-1.8,,62,,,,8,,2000,,-.4
165,格器,2021-01-03 02:00,-1.8,,63,,,,10,,2000,,-.5
165,格器,2021-01-03 03:00,-1.8,,63,,,,10,ScAs,2000,,-.6
165,格器,2021-01-03 04:00,-1.8,,63,,,,9,Ci,2000,,-.6
165,格器,2021-01-03 05:00,-1.8,,64,,,,10,ScAs,2000,,-.6
165,格器,2021-01-03 06:00,-1.8,,64,,,,10,As,2000,,-.7
165,格器,2021-01-03 07:00,-2.3,,63,,,,10,As,2000,,-.9
165,格器,2021-01-03 08:00,-2.6,,61,0,0,,4,Ci,2000,,-1.2
165,格器,2021-01-03 09:00,-2.1,,58,.6,.27,,2,Ci,1994,,-1
165,格器,2021-01-03 10:00,-.9,,50,1,.86,,0,,2000,,-.3
165,格器,2021-01-03 11:00,.1,,49,1,1.39,,0,,1991,,-.1
165,格器,2021-01-03 12:00,1.3,,52,1,1.76,,3,Ci,1965,,1.8
165,格器,2021-01-03 13:00,1.6,,54,1,1.7,,6,Ci,1932,,4.3
165,格器,2021-01-03 14:00,1.7,,55,.6,1.01,,7,Ci,1998,,3.9
165,格器,2021-01-03 15:00,1.6,,57,0,.64,,8,Ci,1996,,3.1
165,格器,2021-01-03 16:00,1.4,,58,0,.32,,10,As,1994,,2.1
165,格器,2021-01-03 17:00,1.3,,58,0,.13,,10,As,2000,,1.7
165,格器,2021-01-03 18:00,1.2,,57,0,.01,,10,As,2000,,.9
165,格器,2021-01-03 19:00,.8,,61,,,,10,,1993,,.6
165,格器,2021-01-03 20:00,.5,,63,,,,10,,1972,,.5
165,格器,2021-01-03 21:00,.1,,65,,,,7,Ci,2000,,0
165,格器,2021-01-03 22:00,-.1,,64,,,,10,,1994,,.5
165,格器,2021-01-03 23:00,-.5,,72,,,,9,,1713,,.2
165,格器,2021-01-04 00:00,-.7,,67,,,,9,Ci,1901,,0
165,格器,2021-01-04 01:00,-.9,,70,,,,5,,1831,,-.2
165,格器,2021-01-04 02:00,-1.2,,72,,,,4,,1841,,-.7
165,格器,2021-01-04 03:00,-1.4,,75,,,,6,Ci,1683,,-.8
165,格器,2021-01-04 04:00,-1.1,,71,,,,4,Ac,1773,,-1.2
165,格器,2021-01-04 05:00,-1.7,,68,,,,0,,1741,,-1.8
165,格器,2021-01-04 06:00,-2.1,,69,,,,0,,1803,,-2.1
165,格器,2021-01-04 07:00,-1.5,,66,,,,0,,1752,,-2.1
165,格器,2021-01-04 08:00,-1.6,,65,0,.01,,0,,1867,,-2.1
165,格器,2021-01-04 09:00,-.3,,58,.8,.31,,0,,1800,,-1.1
165,格器,2021-01-04 10:00,.9,,47,1,.85,,0,,2000,,-.3
165,格器,2021-01-04 11:00,3.4,,40,1,1.38,,0,,2000,,-.1
165,格器,2021-01-04 12:00,4.9,,39,1,1.68,,0,,2000,,4.3
165,格器,2021-01-04 13:00,6,,42,1,1.87,,3,Sc,1719,,7.9
165,格器,2021-01-04 14:00,7.1,,41,1,1.81,,7,ScCi,1828,,9.7
165,格器,2021-01-04 15:00,6.9,,45,.8,1.25,,7,Sc,1969,,8.5
165,格器,2021-01-04 16:00,7.5,,43,.7,.84,,5,Sc,1887,,8.1
165,格器,2021-01-04 17:00,6.3,,50,.8,.48,,7,Sc,1792,,6.1
165,格器,2021-01-04 18:00,5.1,,61,.1,.05,,2,Sc,1758,,3.6
165,格器,2021-01-04 19:00,4.3,,63,,,,4,,1597,,2.4
165,格器,2021-01-04 20:00,3.9,,67,,,,7,,1397,,2
165,格器,2021-01-04 21:00,3.7,,68,,,,8,Ci,1387,,1.9
165,格器,2021-01-04 22:00,3.5,,67,,,,8,,1271,,1.6
165,格器,2021-01-04 23:00,3.1,,74,,,,9,,1312,,1.6
165,格器,2021-01-05 00:00,3.4,,73,,,,9,Sc,1342,,2.1
165,格器,2021-01-05 01:00,3.6,,69,,,,9,,1377,,2
